keyword,region,match,bid,predicted_clicks,predicted_epc,conv_value,cost,profit,hist_min_cpc,hist_avg_cpc,hist_max_cpc
ai generated interactive courses,A,Phrase match,0.55,20.09,5.61,112.63,11.05,101.58,,,
ai generative engine optimization course,A,Broad match,0.55,20.91,6.60,137.97,11.50,126.46,,,
ai generated interactive courses,A,Exact match,0.55,19.92,5.61,111.65,10.96,100.70,,,
ai generated online course site,A,Exact match,0.55,19.75,6.02,118.83,10.86,107.96,,,
ai course title generator,A,Broad match,0.55,20.75,5.84,121.23,11.41,109.82,,,
ai generative content microsoft course,A,Exact match,0.55,19.95,6.02,120.03,10.97,109.06,,,
artificial intelligence short course online,A,Phrase match,0.55,20.05,5.63,112.95,11.03,101.93,,,
ai course script generator,A,Phrase match,0.55,19.96,5.61,111.88,10.98,100.90,,,
ai course content generator,A,Broad match,0.55,20.80,5.61,116.58,11.44,105.14,,,
ai course script generator,A,Broad match,0.55,20.80,5.61,116.59,11.44,105.15,,,
ai generative content microsoft course,A,Phrase match,0.55,20.13,6.02,121.15,11.07,110.08,,,
ai generated online course site,USA,Broad match,0.55,21.59,6.02,129.91,11.87,118.04,,,
adobe generative ai content creation course,C,Exact match,0.55,19.84,5.30,105.22,10.91,94.31,,,
ai course script generator,C,Exact match,0.55,19.87,4.89,97.19,10.93,86.26,,,
ai prompt engineering course,USA,Exact match,0.55,19.94,6.02,119.96,10.96,108.99,3.47,6.30,11.09
ai content generation course,A,Exact match,0.55,20.00,6.02,120.38,11.00,109.37,,,
ai content generation course,B,Exact match,0.55,19.90,6.02,119.72,10.94,108.77,,,
ai generated online course site,USA,Exact match,0.55,19.90,6.02,119.73,10.94,108.78,,,
ai animation generator course,A,Broad match,0.55,20.49,5.61,114.83,11.27,103.57,,,
adobe generative ai content creation course,USA,Exact match,0.55,19.98,6.02,120.21,10.99,109.22,,,
ai animation video generator course,B,Exact match,0.55,19.70,5.61,110.43,10.84,99.59,,,
ai course script generator,USA,Exact match,0.55,20.00,5.61,112.14,11.00,101.14,,,
adobe generative ai course,C,Exact match,0.55,20.07,5.30,106.42,11.04,95.39,,,
ai animation generator course,C,Exact match,0.55,19.83,4.89,96.99,10.91,86.08,,,
ai animation generator course,USA,Exact match,0.55,19.96,5.61,111.91,10.98,100.93,,,
ai prompt engineering course,B,Exact match,0.55,19.78,6.02,119.04,10.88,108.16,0.26,3.42,16.60
adobe generative ai content creation course,B,Broad match,0.55,20.51,6.02,123.39,11.28,112.11,,,
adobe generative ai content creation course,USA,Broad match,0.55,21.21,6.02,127.63,11.67,115.97,,,
ai animation video generator course,A,Phrase match,0.55,20.00,5.61,112.10,11.00,101.10,,,
5 day generative ai course google,USA,Exact match,0.55,20.03,6.02,120.55,11.02,109.53,,,
ai course outline generator,C,Exact match,0.55,19.92,4.51,89.81,10.96,78.85,,,
ai graphic design course,B,Exact match,0.55,19.84,5.63,111.77,10.91,100.86,0.63,1.78,3.21
ai graphic design course,C,Exact match,0.55,19.93,4.92,98.05,10.96,87.09,,,
ai animation video generator course,USA,Exact match,0.55,19.93,5.61,111.70,10.96,100.74,,,
adobe generative ai course,A,Phrase match,0.55,20.05,6.02,120.66,11.03,109.63,,,
ai generate course,B,Phrase match,0.34,20.03,5.58,111.84,6.81,105.02,,,
ai for managers course,C,Phrase match,0.19,19.93,4.26,84.99,3.79,81.21,0.14,0.14,0.14
5 day generative ai course google,A,Broad match,0.00,20.81,4.40,91.54,0.00,91.54,,,
5 day generative ai course google,A,Exact match,0.00,19.73,4.40,86.77,0.00,86.77,,,
5 day generative ai course google,A,Phrase match,0.00,19.66,4.40,86.47,0.00,86.47,,,
5 day generative ai course google,B,Broad match,0.00,20.81,4.40,91.51,0.00,91.51,,,
5 day generative ai course google,B,Exact match,0.00,19.74,4.40,86.83,0.00,86.83,,,
5 day generative ai course google,B,Phrase match,0.00,19.65,4.40,86.44,0.00,86.44,,,
5 day generative ai course google,C,Broad match,0.00,21.31,3.68,78.51,0.00,78.51,,,
5 day generative ai course google,C,Exact match,0.00,19.83,3.68,73.06,0.00,73.06,,,
5 day generative ai course google,C,Phrase match,0.00,19.74,3.68,72.74,0.00,72.74,,,
5 day generative ai course google,USA,Broad match,0.00,21.18,4.40,93.15,0.00,93.15,,,
5 day generative ai course google,USA,Phrase match,0.00,20.24,4.40,89.03,0.00,89.03,,,
academy lms course content ai generator addon,A,Broad match,0.00,23.14,4.40,101.77,0.00,101.77,,,
academy lms course content ai generator addon,A,Exact match,0.00,22.19,4.40,97.58,0.00,97.58,,,
academy lms course content ai generator addon,A,Phrase match,0.00,22.30,4.40,98.09,0.00,98.09,,,
academy lms course content ai generator addon,B,Broad match,0.00,22.71,4.40,99.90,0.00,99.90,,,
academy lms course content ai generator addon,B,Exact match,0.00,21.88,4.40,96.24,0.00,96.24,,,
academy lms course content ai generator addon,B,Phrase match,0.00,21.88,4.40,96.22,0.00,96.22,,,
academy lms course content ai generator addon,C,Broad match,0.00,23.02,3.68,84.81,0.00,84.81,,,
academy lms course content ai generator addon,C,Exact match,0.00,22.05,3.68,81.23,0.00,81.23,,,
academy lms course content ai generator addon,C,Phrase match,0.00,22.05,3.68,81.22,0.00,81.22,,,
academy lms course content ai generator addon,USA,Broad match,0.00,22.88,4.40,100.65,0.00,100.65,,,
academy lms course content ai generator addon,USA,Exact match,0.00,22.11,4.40,97.25,0.00,97.25,,,
academy lms course content ai generator addon,USA,Phrase match,0.00,22.11,4.40,97.24,0.00,97.24,,,
adobe generative ai content creation course,A,Broad match,0.00,20.30,4.40,89.27,0.00,89.27,,,
adobe generative ai content creation course,A,Exact match,0.00,19.81,4.40,87.13,0.00,87.13,,,
adobe generative ai content creation course,A,Phrase match,0.00,19.96,4.40,87.80,0.00,87.80,,,
adobe generative ai content creation course,B,Exact match,0.00,19.75,4.40,86.87,0.00,86.87,,,
adobe generative ai content creation course,B,Phrase match,0.00,19.86,4.40,87.34,0.00,87.34,,,
adobe generative ai content creation course,C,Broad match,0.00,20.57,3.68,75.77,0.00,75.77,,,
adobe generative ai content creation course,C,Phrase match,0.00,19.95,3.68,73.50,0.00,73.50,,,
adobe generative ai content creation course,USA,Phrase match,0.00,20.09,4.40,88.34,0.00,88.34,,,
adobe generative ai course,A,Broad match,0.00,20.67,4.40,90.89,0.00,90.89,,,
adobe generative ai course,A,Exact match,0.00,20.05,4.40,88.18,0.00,88.18,,,
adobe generative ai course,B,Broad match,0.00,20.44,4.40,89.88,0.00,89.88,,,
adobe generative ai course,B,Exact match,0.00,19.98,4.40,87.86,0.00,87.86,,,
adobe generative ai course,B,Phrase match,0.00,19.91,4.40,87.57,0.00,87.57,,,
adobe generative ai course,C,Broad match,0.00,20.81,3.68,76.66,0.00,76.66,,,
adobe generative ai course,C,Phrase match,0.00,20.00,3.68,73.68,0.00,73.68,,,
adobe generative ai course,USA,Broad match,0.00,21.14,4.40,92.98,0.00,92.98,,,
adobe generative ai course,USA,Exact match,0.00,20.30,4.40,89.27,0.00,89.27,,,
adobe generative ai course,USA,Phrase match,0.00,20.23,4.40,88.97,0.00,88.97,,,
advanced generative ai course,A,Broad match,0.00,20.96,5.53,115.95,0.00,115.95,,,
advanced generative ai course,A,Exact match,0.00,19.96,5.53,110.42,0.00,110.42,,,
advanced generative ai course,A,Phrase match,0.00,20.07,5.53,111.05,0.00,111.05,,,
advanced generative ai course,B,Broad match,0.00,21.02,5.53,116.29,0.00,116.29,,,
advanced generative ai course,B,Exact match,0.00,19.89,5.53,110.02,0.00,110.02,,,
advanced generative ai course,B,Phrase match,0.00,19.98,5.53,110.54,0.00,110.54,,,
advanced generative ai course,C,Broad match,0.00,21.36,4.82,102.94,0.00,102.94,,,
advanced generative ai course,C,Exact match,0.00,19.98,4.82,96.26,0.00,96.26,,,
advanced generative ai course,C,Phrase match,0.00,20.07,4.82,96.71,0.00,96.71,,,
advanced generative ai course,USA,Broad match,0.00,21.11,5.53,116.80,0.00,116.80,,,
advanced generative ai course,USA,Exact match,0.00,20.04,5.53,110.87,0.00,110.87,,,
advanced generative ai course,USA,Phrase match,0.00,20.13,5.53,111.39,0.00,111.39,,,
advanced generative ai courses,A,Broad match,0.00,20.90,5.77,120.58,0.00,120.58,,,
advanced generative ai courses,A,Exact match,0.00,19.93,5.77,114.99,0.00,114.99,,,
advanced generative ai courses,A,Phrase match,0.00,20.14,5.77,116.19,0.00,116.19,,,
advanced generative ai courses,B,Broad match,0.00,20.89,5.77,120.50,0.00,120.50,,,
advanced generative ai courses,B,Exact match,0.00,19.86,5.77,114.57,0.00,114.57,,,
advanced generative ai courses,B,Phrase match,0.00,19.97,5.77,115.22,0.00,115.22,,,
advanced generative ai courses,C,Broad match,0.00,21.23,5.05,107.33,0.00,107.33,,,
advanced generative ai courses,C,Exact match,0.00,19.95,5.05,100.85,0.00,100.85,,,
advanced generative ai courses,C,Phrase match,0.00,20.06,5.05,101.41,0.00,101.41,,,
advanced generative ai courses,USA,Broad match,0.00,20.98,5.77,121.03,0.00,121.03,,,
advanced generative ai courses,USA,Exact match,0.00,20.01,5.77,115.45,0.00,115.45,,,
advanced generative ai courses,USA,Phrase match,0.00,20.12,5.77,116.10,0.00,116.10,,,
ai and generative ai course,A,Broad match,0.00,20.72,4.98,103.18,0.00,103.18,,,
ai and generative ai course,A,Exact match,0.00,20.01,4.98,99.63,0.00,99.63,,,
ai and generative ai course,A,Phrase match,0.00,20.04,4.98,99.79,0.00,99.79,,,
ai and generative ai course,B,Broad match,0.00,20.63,4.98,102.72,0.00,102.72,,,
ai and generative ai course,B,Exact match,0.00,19.90,4.98,99.09,0.00,99.09,,,
ai and generative ai course,B,Phrase match,0.00,19.95,4.98,99.33,0.00,99.33,,,
ai and generative ai course,C,Broad match,0.00,21.09,4.26,89.92,0.00,89.92,,,
ai and generative ai course,C,Exact match,0.00,19.99,4.26,85.26,0.00,85.26,,,
ai and generative ai course,C,Phrase match,0.00,20.04,4.26,85.47,0.00,85.47,,,
ai and generative ai course,USA,Broad match,0.00,20.65,4.98,102.79,0.00,102.79,,,
ai and generative ai course,USA,Exact match,0.00,20.15,4.98,100.31,0.00,100.31,,,
ai and generative ai course,USA,Phrase match,0.00,20.20,4.98,100.55,0.00,100.55,,,
ai animation generator course,A,Exact match,0.00,19.85,3.99,79.12,0.00,79.12,,,
ai animation generator course,A,Phrase match,0.00,20.00,3.99,79.74,0.00,79.74,,,
ai animation generator course,B,Broad match,0.00,20.34,3.99,81.09,0.00,81.09,,,
ai animation generator course,B,Exact match,0.00,19.74,3.99,78.68,0.00,78.68,,,
ai animation generator course,B,Phrase match,0.00,19.77,3.99,78.83,0.00,78.83,,,
ai animation generator course,C,Broad match,0.00,20.78,3.27,68.00,0.00,68.00,,,
ai animation generator course,C,Phrase match,0.00,19.87,3.27,65.00,0.00,65.00,,,
ai animation generator course,USA,Broad match,0.00,21.05,3.99,83.90,0.00,83.90,,,
ai animation generator course,USA,Phrase match,0.00,20.00,3.99,79.73,0.00,79.73,,,
ai animation video generator course,A,Broad match,0.00,20.64,3.99,82.29,0.00,82.29,,,
ai animation video generator course,A,Exact match,0.00,19.93,3.99,79.44,0.00,79.44,,,
ai animation video generator course,B,Broad match,0.00,20.30,3.99,80.91,0.00,80.91,,,
ai animation video generator course,B,Phrase match,0.00,19.74,3.99,78.68,0.00,78.68,,,
ai animation video generator course,C,Broad match,0.00,20.80,3.27,68.07,0.00,68.07,,,
ai animation video generator course,C,Exact match,0.00,19.79,3.27,64.76,0.00,64.76,,,
ai animation video generator course,C,Phrase match,0.00,19.83,3.27,64.88,0.00,64.88,,,
ai animation video generator course,USA,Broad match,0.00,21.00,3.99,83.71,0.00,83.71,,,
ai animation video generator course,USA,Phrase match,0.00,19.96,3.99,79.58,0.00,79.58,,,
ai art generation course,A,Broad match,0.00,20.31,4.63,94.12,0.00,94.12,,,
ai art generation course,A,Exact match,0.00,19.80,4.63,91.76,0.00,91.76,,,
ai art generation course,A,Phrase match,0.00,19.96,4.63,92.49,0.00,92.49,,,
ai art generation course,B,Broad match,0.00,20.08,4.63,93.06,0.00,93.06,,,
ai art generation course,B,Exact match,0.00,19.69,4.63,91.25,0.00,91.25,,,
ai art generation course,B,Phrase match,0.00,19.73,4.63,91.43,0.00,91.43,,,
ai art generation course,C,Broad match,0.00,20.67,3.92,81.03,0.00,81.03,,,
ai art generation course,C,Exact match,0.00,19.78,3.92,77.55,0.00,77.55,,,
ai art generation course,C,Phrase match,0.00,19.82,3.92,77.69,0.00,77.69,,,
ai art generation course,USA,Broad match,0.00,20.78,4.63,96.33,0.00,96.33,,,
ai art generation course,USA,Exact match,0.00,19.92,4.63,92.30,0.00,92.30,,,
ai art generation course,USA,Phrase match,0.00,19.95,4.63,92.48,0.00,92.48,,,
ai art generator course,A,Broad match,0.00,19.99,4.63,92.63,0.00,92.63,,,
ai art generator course,A,Exact match,0.00,19.85,4.63,91.99,0.00,91.99,,,
ai art generator course,A,Phrase match,0.00,19.77,4.63,91.65,0.00,91.65,,,
ai art generator course,B,Broad match,0.00,19.76,4.63,91.57,0.00,91.57,,,
ai art generator course,B,Exact match,0.00,19.74,4.63,91.48,0.00,91.48,,,
ai art generator course,B,Phrase match,0.00,19.54,4.63,90.58,0.00,90.58,,,
ai art generator course,C,Broad match,0.00,20.34,3.92,79.76,0.00,79.76,,,
ai art generator course,C,Exact match,0.00,19.83,3.92,77.74,0.00,77.74,,,
ai art generator course,C,Phrase match,0.00,19.64,3.92,76.98,0.00,76.98,,,
ai art generator course,USA,Broad match,0.00,20.68,4.63,95.85,0.00,95.85,,,
ai art generator course,USA,Exact match,0.00,19.97,4.63,92.53,0.00,92.53,,,
ai art generator course,USA,Phrase match,0.00,20.07,4.63,93.01,0.00,93.01,,,
ai certificate programs,A,Broad match,0.00,20.68,4.82,99.72,0.00,99.72,,,
ai certificate programs,A,Exact match,0.00,19.84,4.82,95.66,0.00,95.66,,,
ai certificate programs,A,Phrase match,0.00,20.23,4.82,97.53,0.00,97.53,,,
ai certificate programs,B,Broad match,0.00,21.31,4.82,102.74,0.00,102.74,,,
ai certificate programs,B,Exact match,0.00,19.73,4.82,95.10,0.00,95.10,,,
ai certificate programs,B,Phrase match,0.00,20.21,4.82,97.41,0.00,97.41,,,
ai certificate programs,C,Broad match,0.00,22.12,4.74,104.89,0.00,104.89,,,
ai certificate programs,C,Exact match,0.00,19.96,4.74,94.62,0.00,94.62,,,
ai certificate programs,C,Phrase match,0.00,20.44,4.74,96.89,0.00,96.89,,,
ai certificate programs,USA,Broad match,0.00,21.48,4.82,103.56,0.00,103.56,1.13,5.99,27.59
ai certificate programs,USA,Exact match,0.00,19.94,4.82,96.15,0.00,96.15,,,
ai certificate programs,USA,Phrase match,0.00,20.50,4.82,98.81,0.00,98.81,,,
ai certification classes,A,Broad match,0.00,20.47,5.53,113.25,0.00,113.25,,,
ai certification classes,A,Exact match,0.00,19.72,5.53,109.09,0.00,109.09,,,
ai certification classes,A,Phrase match,0.00,19.68,5.53,108.89,0.00,108.89,,,
ai certification classes,B,Broad match,0.00,20.58,5.53,113.87,0.00,113.87,,,
ai certification classes,B,Exact match,0.00,19.74,5.53,109.19,0.00,109.19,,,
ai certification classes,B,Phrase match,0.00,19.79,5.53,109.50,0.00,109.50,,,
ai certification classes,C,Broad match,0.00,20.79,4.82,100.16,0.00,100.16,,,
ai certification classes,C,Exact match,0.00,19.83,4.82,95.53,0.00,95.53,,,
ai certification classes,C,Phrase match,0.00,19.88,4.82,95.81,0.00,95.81,0.54,0.55,0.57
ai certification classes,USA,Broad match,0.00,20.67,5.53,114.37,0.00,114.37,,,
ai certification classes,USA,Exact match,0.00,19.89,5.53,110.03,0.00,110.03,1.69,5.82,9.95
ai certification classes,USA,Phrase match,0.00,19.95,5.53,110.35,0.00,110.35,1.91,3.84,5.79
ai certification cost,A,Broad match,0.00,21.14,4.78,101.09,0.00,101.09,,,
ai certification cost,A,Exact match,0.00,19.81,4.78,94.73,0.00,94.73,,,
ai certification cost,A,Phrase match,0.00,19.86,4.78,94.99,0.00,94.99,,,
ai certification cost,B,Broad match,0.00,21.06,4.78,100.70,0.00,100.70,,,
ai certification cost,B,Exact match,0.00,19.85,4.78,94.93,0.00,94.93,,,
ai certification cost,B,Phrase match,0.00,19.97,4.78,95.51,0.00,95.51,,,
ai certification cost,C,Broad match,0.00,21.48,4.70,101.00,0.00,101.00,,,
ai certification cost,C,Exact match,0.00,19.94,4.70,93.76,0.00,93.76,,,
ai certification cost,C,Phrase match,0.00,20.06,4.70,94.34,0.00,94.34,,,
ai certification cost,USA,Broad match,0.00,21.13,4.78,101.06,0.00,101.06,,,
ai certification cost,USA,Exact match,0.00,20.00,4.78,95.66,0.00,95.66,,,
ai certification cost,USA,Phrase match,0.00,20.12,4.78,96.24,0.00,96.24,,,
ai certification courses,A,Broad match,0.00,20.58,5.53,113.83,0.00,113.83,,,
ai certification courses,A,Exact match,0.00,19.64,5.53,108.65,0.00,108.65,1.77,2.29,2.66
ai certification courses,A,Phrase match,0.00,19.76,5.53,109.33,0.00,109.33,0.44,3.28,10.42
ai certification courses,B,Broad match,0.00,20.69,5.53,114.45,0.00,114.45,,,
ai certification courses,B,Exact match,0.00,19.66,5.53,108.75,0.00,108.75,0.15,0.83,1.33
ai certification courses,B,Phrase match,0.00,19.87,5.53,109.95,0.00,109.95,0.52,1.29,2.72
ai certification courses,C,Broad match,0.00,21.06,4.82,101.50,0.00,101.50,,,
ai certification courses,C,Exact match,0.00,19.75,4.82,95.15,0.00,95.15,0.44,0.44,0.44
ai certification courses,C,Phrase match,0.00,19.96,4.82,96.19,0.00,96.19,0.21,0.87,1.44
ai certification courses,USA,Broad match,0.00,20.78,5.53,114.96,0.00,114.96,,,
ai certification courses,USA,Exact match,0.00,19.88,5.53,110.00,0.00,110.00,1.29,8.73,18.35
ai certification courses,USA,Phrase match,0.00,20.10,5.53,111.20,0.00,111.20,1.85,7.80,25.30
ai certification mit,A,Broad match,0.00,20.69,5.17,107.00,0.00,107.00,,,
ai certification mit,A,Exact match,0.00,20.02,5.17,103.50,0.00,103.50,1.32,8.29,38.40
ai certification mit,A,Phrase match,0.00,19.99,5.17,103.35,0.00,103.35,,,
ai certification mit,B,Broad match,0.00,20.80,5.17,107.54,0.00,107.54,,,
ai certification mit,B,Exact match,0.00,20.00,5.17,103.39,0.00,103.39,2.75,7.54,14.66
ai certification mit,B,Phrase match,0.00,20.04,5.17,103.64,0.00,103.64,,,
ai certification mit,C,Broad match,0.00,21.30,4.46,94.94,0.00,94.94,,,
ai certification mit,C,Exact match,0.00,20.09,4.46,89.52,0.00,89.52,0.28,1.59,8.53
ai certification mit,C,Phrase match,0.00,20.13,4.46,89.73,0.00,89.73,,,
ai certification mit,USA,Broad match,0.00,20.89,5.17,108.01,0.00,108.01,,,
ai certification mit,USA,Exact match,0.00,20.22,5.17,104.56,0.00,104.56,0.01,12.93,39.03
ai certification mit,USA,Phrase match,0.00,20.27,5.17,104.81,0.00,104.81,1.20,11.48,29.63
ai class,A,Broad match,0.00,20.58,3.80,78.22,0.00,78.22,,,
ai class,A,Exact match,0.00,19.93,3.80,75.75,0.00,75.75,,,
ai class,A,Phrase match,0.00,20.07,3.80,76.31,0.00,76.31,,,
ai class,B,Broad match,0.00,20.54,3.80,78.09,0.00,78.09,,,
ai class,B,Exact match,0.00,19.88,3.80,75.56,0.00,75.56,,,
ai class,B,Phrase match,0.00,20.04,3.80,76.18,0.00,76.18,,,
ai class,C,Broad match,0.00,20.84,3.09,64.33,0.00,64.33,,,
ai class,C,Exact match,0.00,19.97,3.09,61.64,0.00,61.64,,,
ai class,C,Phrase match,0.00,20.13,3.09,62.15,0.00,62.15,,,
ai class,USA,Broad match,0.00,20.55,3.80,78.12,0.00,78.12,1.78,4.45,9.74
ai class,USA,Exact match,0.00,19.88,3.80,75.56,0.00,75.56,,,
ai class,USA,Phrase match,0.00,20.04,3.80,76.18,0.00,76.18,,,
ai content generation course,A,Broad match,0.00,20.94,4.40,92.09,0.00,92.09,,,
ai content generation course,A,Phrase match,0.00,20.16,4.40,88.68,0.00,88.68,,,
ai content generation course,B,Broad match,0.00,20.71,4.40,91.08,0.00,91.08,,,
ai content generation course,B,Phrase match,0.00,19.93,4.40,87.67,0.00,87.67,,,
ai content generation course,C,Broad match,0.00,21.38,3.68,78.76,0.00,78.76,,,
ai content generation course,C,Exact match,0.00,19.99,3.68,73.63,0.00,73.63,,,
ai content generation course,C,Phrase match,0.00,20.02,3.68,73.77,0.00,73.77,,,
ai content generation course,USA,Broad match,0.00,20.80,4.40,91.48,0.00,91.48,,,
ai content generation course,USA,Exact match,0.00,20.21,4.40,88.91,0.00,88.91,,,
ai content generation course,USA,Phrase match,0.00,20.25,4.40,89.07,0.00,89.07,,,
ai content generation marketing course,A,Broad match,0.00,20.71,4.40,91.07,0.00,91.07,,,
ai content generation marketing course,A,Exact match,0.00,19.83,4.40,87.24,0.00,87.24,,,
ai content generation marketing course,A,Phrase match,0.00,20.10,4.40,88.39,0.00,88.39,,,
ai content generation marketing course,B,Broad match,0.00,20.36,4.40,89.55,0.00,89.55,,,
ai content generation marketing course,B,Exact match,0.00,19.61,4.40,86.24,0.00,86.24,,,
ai content generation marketing course,B,Phrase match,0.00,19.75,4.40,86.87,0.00,86.87,,,
ai content generation marketing course,C,Broad match,0.00,20.95,3.68,77.19,0.00,77.19,,,
ai content generation marketing course,C,Exact match,0.00,19.70,3.68,72.57,0.00,72.57,,,
ai content generation marketing course,C,Phrase match,0.00,19.84,3.68,73.10,0.00,73.10,,,
ai content generation marketing course,USA,Broad match,0.00,20.45,4.40,89.95,0.00,89.95,,,
ai content generation marketing course,USA,Exact match,0.00,19.83,4.40,87.23,0.00,87.23,,,
ai content generation marketing course,USA,Phrase match,0.00,19.98,4.40,87.86,0.00,87.86,,,
ai course content generator,A,Exact match,0.00,19.81,3.99,78.99,0.00,78.99,,,
ai course content generator,A,Phrase match,0.00,20.00,3.99,79.72,0.00,79.72,,,
ai course content generator,B,Broad match,0.00,20.71,3.99,82.57,0.00,82.57,,,
ai course content generator,B,Exact match,0.00,19.63,3.99,78.24,0.00,78.24,,,
ai course content generator,B,Phrase match,0.00,19.83,3.99,79.04,0.00,79.04,,,
ai course content generator,C,Broad match,0.00,21.23,3.27,69.48,0.00,69.48,,,
ai course content generator,C,Exact match,0.00,19.80,3.27,64.77,0.00,64.77,,,
ai course content generator,C,Phrase match,0.00,20.00,3.27,65.43,0.00,65.43,,,
ai course content generator,USA,Broad match,0.00,20.88,3.99,83.25,0.00,83.25,,,
ai course content generator,USA,Exact match,0.00,19.93,3.99,79.45,0.00,79.45,,,
ai course content generator,USA,Phrase match,0.00,20.13,3.99,80.25,0.00,80.25,,,
ai course curriculum generator,A,Broad match,0.00,21.08,4.54,95.72,0.00,95.72,,,
ai course curriculum generator,A,Exact match,0.00,19.75,4.54,89.69,0.00,89.69,,,
ai course curriculum generator,A,Phrase match,0.00,20.02,4.54,90.89,0.00,90.89,,,
ai course curriculum generator,B,Broad match,0.00,21.30,4.54,96.74,0.00,96.74,,,
ai course curriculum generator,B,Exact match,0.00,19.53,4.54,88.66,0.00,88.66,,,
ai course curriculum generator,B,Phrase match,0.00,19.81,4.54,89.94,0.00,89.94,,,
ai course curriculum generator,C,Broad match,0.00,21.80,3.83,83.41,0.00,83.41,,,
ai course curriculum generator,C,Exact match,0.00,19.62,3.83,75.06,0.00,75.06,,,
ai course curriculum generator,C,Phrase match,0.00,19.90,3.83,76.14,0.00,76.14,,,
ai course curriculum generator,USA,Broad match,0.00,21.40,4.54,97.15,0.00,97.15,,,
ai course curriculum generator,USA,Exact match,0.00,19.75,4.54,89.69,0.00,89.69,,,
ai course curriculum generator,USA,Phrase match,0.00,20.03,4.54,90.96,0.00,90.96,,,
ai course description generator,A,Broad match,0.00,20.45,4.22,86.37,0.00,86.37,,,
ai course description generator,A,Exact match,0.00,19.81,4.22,83.67,0.00,83.67,,,
ai course description generator,A,Phrase match,0.00,19.93,4.22,84.15,0.00,84.15,,,
ai course description generator,B,Broad match,0.00,21.13,4.22,89.22,0.00,89.22,,,
ai course description generator,B,Exact match,0.00,19.70,4.22,83.20,0.00,83.20,,,
ai course description generator,B,Phrase match,0.00,19.84,4.22,83.76,0.00,83.76,,,
ai course description generator,C,Broad match,0.00,21.77,3.51,76.39,0.00,76.39,,,
ai course description generator,C,Exact match,0.00,19.79,3.51,69.45,0.00,69.45,,,
ai course description generator,C,Phrase match,0.00,19.93,3.51,69.92,0.00,69.92,,,
ai course description generator,USA,Broad match,0.00,21.22,4.22,89.60,0.00,89.60,,,
ai course description generator,USA,Exact match,0.00,19.93,4.22,84.16,0.00,84.16,,,
ai course description generator,USA,Phrase match,0.00,20.06,4.22,84.72,0.00,84.72,,,
ai course for business leaders,A,Broad match,0.00,21.02,4.95,104.08,0.00,104.08,,,
ai course for business leaders,A,Exact match,0.00,19.87,4.95,98.38,0.00,98.38,,,
ai course for business leaders,A,Phrase match,0.00,19.85,4.95,98.29,0.00,98.29,,,
ai course for business leaders,B,Broad match,0.00,20.88,4.95,103.42,0.00,103.42,,,
ai course for business leaders,B,Exact match,0.00,19.92,4.95,98.67,0.00,98.67,0.72,2.42,8.31
ai course for business leaders,B,Phrase match,0.00,19.88,4.95,98.47,0.00,98.47,,,
ai course for business leaders,C,Broad match,0.00,21.34,4.24,90.44,0.00,90.44,,,
ai course for business leaders,C,Exact match,0.00,20.02,4.24,84.83,0.00,84.83,,,
ai course for business leaders,C,Phrase match,0.00,19.97,4.24,84.65,0.00,84.65,,,
ai course for business leaders,USA,Broad match,0.00,20.90,4.95,103.49,0.00,103.49,,,
ai course for business leaders,USA,Exact match,0.00,20.08,4.95,99.43,0.00,99.43,,,
ai course for business leaders,USA,Phrase match,0.00,20.04,4.95,99.22,0.00,99.22,,,
ai course generation,A,Broad match,0.00,20.48,3.99,81.63,0.00,81.63,,,
