Region,Match type,bert_0,bert_1,bert_2,bert_3,bert_4,bert_5,bert_6,bert_7,bert_8,bert_9,bert_10,bert_11,bert_12,bert_13,bert_14,bert_15,bert_16,bert_17,bert_18,bert_19,bert_20,bert_21,bert_22,bert_23,bert_24,bert_25,bert_26,bert_27,bert_28,bert_29,bert_30,bert_31,bert_32,bert_33,bert_34,bert_35,bert_36,bert_37,bert_38,bert_39,bert_40,bert_41,bert_42,bert_43,bert_44,bert_45,bert_46,bert_47,bert_48,bert_49,is_new_keyword,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),last_month_searches,three_month_avg,six_month_avg,mom_change,search_trend,Avg_ CPC,day_of_week,is_weekend,month,is_public_holiday,days_to_next_course_start
USA,Broad match,0.8978791236877441,0.3165355324745178,0.0024840403348207474,0.04936249926686287,0.0012099753366783261,-0.08723653852939606,0.006452468689531088,0.08117487281560898,-0.004343430045992136,-0.04101276770234108,0.017135661095380783,-0.05045017972588539,0.1188361868262291,-0.014387065544724464,-0.008383243344724178,-0.09712005406618118,-0.03543088212609291,-0.059044040739536285,0.04115140438079834,0.018094046041369438,-0.0013151251478120685,0.03364923968911171,0.024515870958566666,-0.023063402622938156,0.039740078151226044,-0.03824835270643234,0.09792057424783707,-0.03743470832705498,-0.014207799918949604,-0.013916543684899807,-0.031352344900369644,0.0655813217163086,-0.03665231540799141,0.021532593294978142,0.0010998965008184314,0.00908229872584343,0.031090635806322098,0.020558536052703857,-0.039160896092653275,-0.03260142728686333,-0.03479457274079323,0.08435182273387909,0.02663114108145237,-0.036745499819517136,-0.022289052605628967,-0.045691512525081635,0.00870415661484003,0.028141768649220467,0.006125959567725658,0.00830033328384161,True,Medium,64.0,2.77,9.23,10.0,10.0,10.0,0.0,0.0,6.0,Sunday,1.0,1.0,0.0,36.0
USA,Exact match,0.8978791236877441,0.3165355324745178,0.0024840403348207474,0.04936249926686287,0.0012099753366783261,-0.08723653852939606,0.006452468689531088,0.08117487281560898,-0.004343430045992136,-0.04101276770234108,0.017135661095380783,-0.05045017972588539,0.1188361868262291,-0.014387065544724464,-0.008383243344724178,-0.09712005406618118,-0.03543088212609291,-0.059044040739536285,0.04115140438079834,0.018094046041369438,-0.0013151251478120685,0.03364923968911171,0.024515870958566666,-0.023063402622938156,0.039740078151226044,-0.03824835270643234,0.09792057424783707,-0.03743470832705498,-0.014207799918949604,-0.013916543684899807,-0.031352344900369644,0.0655813217163086,-0.03665231540799141,0.021532593294978142,0.0010998965008184314,0.00908229872584343,0.031090635806322098,0.020558536052703857,-0.039160896092653275,-0.03260142728686333,-0.03479457274079323,0.08435182273387909,0.02663114108145237,-0.036745499819517136,-0.022289052605628967,-0.045691512525081635,0.00870415661484003,0.028141768649220467,0.006125959567725658,0.00830033328384161,True,Medium,64.0,2.77,9.23,10.0,10.0,10.0,0.0,0.0,6.0,Sunday,1.0,1.0,0.0,36.0
USA,Phrase match,0.8978791236877441,0.3165355324745178,0.0024840403348207474,0.04936249926686287,0.0012099753366783261,-0.08723653852939606,0.006452468689531088,0.08117487281560898,-0.004343430045992136,-0.04101276770234108,0.017135661095380783,-0.05045017972588539,0.1188361868262291,-0.014387065544724464,-0.008383243344724178,-0.09712005406618118,-0.03543088212609291,-0.059044040739536285,0.04115140438079834,0.018094046041369438,-0.0013151251478120685,0.03364923968911171,0.024515870958566666,-0.023063402622938156,0.039740078151226044,-0.03824835270643234,0.09792057424783707,-0.03743470832705498,-0.014207799918949604,-0.013916543684899807,-0.031352344900369644,0.0655813217163086,-0.03665231540799141,0.021532593294978142,0.0010998965008184314,0.00908229872584343,0.031090635806322098,0.020558536052703857,-0.039160896092653275,-0.03260142728686333,-0.03479457274079323,0.08435182273387909,0.02663114108145237,-0.036745499819517136,-0.022289052605628967,-0.045691512525081635,0.00870415661484003,0.028141768649220467,0.006125959567725658,0.00830033328384161,True,Medium,64.0,2.77,9.23,10.0,10.0,10.0,0.0,0.0,6.0,Sunday,1.0,1.0,0.0,36.0
A,Broad match,0.8978791236877441,0.3165355324745178,0.0024840403348207474,0.04936249926686287,0.0012099753366783261,-0.08723653852939606,0.006452468689531088,0.08117487281560898,-0.004343430045992136,-0.04101276770234108,0.017135661095380783,-0.05045017972588539,0.1188361868262291,-0.014387065544724464,-0.008383243344724178,-0.09712005406618118,-0.03543088212609291,-0.059044040739536285,0.04115140438079834,0.018094046041369438,-0.0013151251478120685,0.03364923968911171,0.024515870958566666,-0.023063402622938156,0.039740078151226044,-0.03824835270643234,0.09792057424783707,-0.03743470832705498,-0.014207799918949604,-0.013916543684899807,-0.031352344900369644,0.0655813217163086,-0.03665231540799141,0.021532593294978142,0.0010998965008184314,0.00908229872584343,0.031090635806322098,0.020558536052703857,-0.039160896092653275,-0.03260142728686333,-0.03479457274079323,0.08435182273387909,0.02663114108145237,-0.036745499819517136,-0.022289052605628967,-0.045691512525081635,0.00870415661484003,0.028141768649220467,0.006125959567725658,0.00830033328384161,True,Medium,64.0,2.77,9.23,10.0,10.0,10.0,0.0,0.0,6.0,Sunday,1.0,1.0,0.0,36.0
B,Broad match,0.8978791236877441,0.3165355324745178,0.0024840403348207474,0.04936249926686287,0.0012099753366783261,-0.08723653852939606,0.006452468689531088,0.08117487281560898,-0.004343430045992136,-0.04101276770234108,0.017135661095380783,-0.05045017972588539,0.1188361868262291,-0.014387065544724464,-0.008383243344724178,-0.09712005406618118,-0.03543088212609291,-0.059044040739536285,0.04115140438079834,0.018094046041369438,-0.0013151251478120685,0.03364923968911171,0.024515870958566666,-0.023063402622938156,0.039740078151226044,-0.03824835270643234,0.09792057424783707,-0.03743470832705498,-0.014207799918949604,-0.013916543684899807,-0.031352344900369644,0.0655813217163086,-0.03665231540799141,0.021532593294978142,0.0010998965008184314,0.00908229872584343,0.031090635806322098,0.020558536052703857,-0.039160896092653275,-0.03260142728686333,-0.03479457274079323,0.08435182273387909,0.02663114108145237,-0.036745499819517136,-0.022289052605628967,-0.045691512525081635,0.00870415661484003,0.028141768649220467,0.006125959567725658,0.00830033328384161,True,Medium,64.0,2.77,9.23,10.0,10.0,10.0,0.0,0.0,6.0,Sunday,1.0,1.0,0.0,36.0
B,Exact match,0.8978791236877441,0.3165355324745178,0.0024840403348207474,0.04936249926686287,0.0012099753366783261,-0.08723653852939606,0.006452468689531088,0.08117487281560898,-0.004343430045992136,-0.04101276770234108,0.017135661095380783,-0.05045017972588539,0.1188361868262291,-0.014387065544724464,-0.008383243344724178,-0.09712005406618118,-0.03543088212609291,-0.059044040739536285,0.04115140438079834,0.018094046041369438,-0.0013151251478120685,0.03364923968911171,0.024515870958566666,-0.023063402622938156,0.039740078151226044,-0.03824835270643234,0.09792057424783707,-0.03743470832705498,-0.014207799918949604,-0.013916543684899807,-0.031352344900369644,0.0655813217163086,-0.03665231540799141,0.021532593294978142,0.0010998965008184314,0.00908229872584343,0.031090635806322098,0.020558536052703857,-0.039160896092653275,-0.03260142728686333,-0.03479457274079323,0.08435182273387909,0.02663114108145237,-0.036745499819517136,-0.022289052605628967,-0.045691512525081635,0.00870415661484003,0.028141768649220467,0.006125959567725658,0.00830033328384161,True,Medium,64.0,2.77,9.23,10.0,10.0,10.0,0.0,0.0,6.0,Sunday,1.0,1.0,0.0,36.0
B,Phrase match,0.8978791236877441,0.3165355324745178,0.0024840403348207474,0.04936249926686287,0.0012099753366783261,-0.08723653852939606,0.006452468689531088,0.08117487281560898,-0.004343430045992136,-0.04101276770234108,0.017135661095380783,-0.05045017972588539,0.1188361868262291,-0.014387065544724464,-0.008383243344724178,-0.09712005406618118,-0.03543088212609291,-0.059044040739536285,0.04115140438079834,0.018094046041369438,-0.0013151251478120685,0.03364923968911171,0.024515870958566666,-0.023063402622938156,0.039740078151226044,-0.03824835270643234,0.09792057424783707,-0.03743470832705498,-0.014207799918949604,-0.013916543684899807,-0.031352344900369644,0.0655813217163086,-0.03665231540799141,0.021532593294978142,0.0010998965008184314,0.00908229872584343,0.031090635806322098,0.020558536052703857,-0.039160896092653275,-0.03260142728686333,-0.03479457274079323,0.08435182273387909,0.02663114108145237,-0.036745499819517136,-0.022289052605628967,-0.045691512525081635,0.00870415661484003,0.028141768649220467,0.006125959567725658,0.00830033328384161,True,Medium,64.0,2.77,9.23,10.0,10.0,10.0,0.0,0.0,6.0,Sunday,1.0,1.0,0.0,36.0
C,Broad match,0.8978791236877441,0.3165355324745178,0.0024840403348207474,0.04936249926686287,0.0012099753366783261,-0.08723653852939606,0.006452468689531088,0.08117487281560898,-0.004343430045992136,-0.04101276770234108,0.017135661095380783,-0.05045017972588539,0.1188361868262291,-0.014387065544724464,-0.008383243344724178,-0.09712005406618118,-0.03543088212609291,-0.059044040739536285,0.04115140438079834,0.018094046041369438,-0.0013151251478120685,0.03364923968911171,0.024515870958566666,-0.023063402622938156,0.039740078151226044,-0.03824835270643234,0.09792057424783707,-0.03743470832705498,-0.014207799918949604,-0.013916543684899807,-0.031352344900369644,0.0655813217163086,-0.03665231540799141,0.021532593294978142,0.0010998965008184314,0.00908229872584343,0.031090635806322098,0.020558536052703857,-0.039160896092653275,-0.03260142728686333,-0.03479457274079323,0.08435182273387909,0.02663114108145237,-0.036745499819517136,-0.022289052605628967,-0.045691512525081635,0.00870415661484003,0.028141768649220467,0.006125959567725658,0.00830033328384161,True,Medium,64.0,2.77,9.23,10.0,10.0,10.0,0.0,0.0,6.0,Sunday,1.0,1.0,0.0,36.0
USA,Broad match,0.8707616925239563,0.44390320777893066,0.021472811698913574,0.026464859023690224,0.000514049781486392,-0.08426588028669357,0.050126977264881134,-0.03014160692691803,-0.05129830539226532,0.02233940176665783,-0.011515545658767223,-0.015946637839078903,0.03082602471113205,-0.0016656519146636128,-0.06363824754953384,-0.03590843454003334,-0.049755532294511795,-0.012434479780495167,-0.01180956419557333,0.029338261112570763,0.021220922470092773,0.010292818769812584,-0.006728728301823139,-0.029380662366747856,0.0016309079946950078,-0.002040663966909051,0.03876382112503052,-0.012566552497446537,-0.011653685010969639,-0.02968197502195835,-0.03463966026902199,0.025721048936247826,-0.01747043803334236,0.060200463980436325,-0.008167948573827744,-0.008298766799271107,-0.008931499905884266,0.02779257670044899,0.015050661750137806,-0.030497459694743156,-0.031224315986037254,-0.008555933833122253,0.007366122677922249,-0.046800389885902405,-0.05201741307973862,-0.028299087658524513,0.015244077891111374,0.002473432570695877,0.006971132941544056,0.02072720043361187,True,High,74.0,5.13,11.26,10.0,10.0,10.0,0.0,0.0,8.195,Sunday,1.0,1.0,0.0,36.0
A,Broad match,0.8707616925239563,0.44390320777893066,0.021472811698913574,0.026464859023690224,0.000514049781486392,-0.08426588028669357,0.050126977264881134,-0.03014160692691803,-0.05129830539226532,0.02233940176665783,-0.011515545658767223,-0.015946637839078903,0.03082602471113205,-0.0016656519146636128,-0.06363824754953384,-0.03590843454003334,-0.049755532294511795,-0.012434479780495167,-0.01180956419557333,0.029338261112570763,0.021220922470092773,0.010292818769812584,-0.006728728301823139,-0.029380662366747856,0.0016309079946950078,-0.002040663966909051,0.03876382112503052,-0.012566552497446537,-0.011653685010969639,-0.02968197502195835,-0.03463966026902199,0.025721048936247826,-0.01747043803334236,0.060200463980436325,-0.008167948573827744,-0.008298766799271107,-0.008931499905884266,0.02779257670044899,0.015050661750137806,-0.030497459694743156,-0.031224315986037254,-0.008555933833122253,0.007366122677922249,-0.046800389885902405,-0.05201741307973862,-0.028299087658524513,0.015244077891111374,0.002473432570695877,0.006971132941544056,0.02072720043361187,True,High,74.0,5.13,11.26,10.0,10.0,10.0,0.0,0.0,8.195,Sunday,1.0,1.0,0.0,36.0
B,Broad match,0.8707616925239563,0.44390320777893066,0.021472811698913574,0.026464859023690224,0.000514049781486392,-0.08426588028669357,0.050126977264881134,-0.03014160692691803,-0.05129830539226532,0.02233940176665783,-0.011515545658767223,-0.015946637839078903,0.03082602471113205,-0.0016656519146636128,-0.06363824754953384,-0.03590843454003334,-0.049755532294511795,-0.012434479780495167,-0.01180956419557333,0.029338261112570763,0.021220922470092773,0.010292818769812584,-0.006728728301823139,-0.029380662366747856,0.0016309079946950078,-0.002040663966909051,0.03876382112503052,-0.012566552497446537,-0.011653685010969639,-0.02968197502195835,-0.03463966026902199,0.025721048936247826,-0.01747043803334236,0.060200463980436325,-0.008167948573827744,-0.008298766799271107,-0.008931499905884266,0.02779257670044899,0.015050661750137806,-0.030497459694743156,-0.031224315986037254,-0.008555933833122253,0.007366122677922249,-0.046800389885902405,-0.05201741307973862,-0.028299087658524513,0.015244077891111374,0.002473432570695877,0.006971132941544056,0.02072720043361187,True,High,74.0,5.13,11.26,10.0,10.0,10.0,0.0,0.0,8.195,Sunday,1.0,1.0,0.0,36.0
C,Broad match,0.8707616925239563,0.44390320777893066,0.021472811698913574,0.026464859023690224,0.000514049781486392,-0.08426588028669357,0.050126977264881134,-0.03014160692691803,-0.05129830539226532,0.02233940176665783,-0.011515545658767223,-0.015946637839078903,0.03082602471113205,-0.0016656519146636128,-0.06363824754953384,-0.03590843454003334,-0.049755532294511795,-0.012434479780495167,-0.01180956419557333,0.029338261112570763,0.021220922470092773,0.010292818769812584,-0.006728728301823139,-0.029380662366747856,0.0016309079946950078,-0.002040663966909051,0.03876382112503052,-0.012566552497446537,-0.011653685010969639,-0.02968197502195835,-0.03463966026902199,0.025721048936247826,-0.01747043803334236,0.060200463980436325,-0.008167948573827744,-0.008298766799271107,-0.008931499905884266,0.02779257670044899,0.015050661750137806,-0.030497459694743156,-0.031224315986037254,-0.008555933833122253,0.007366122677922249,-0.046800389885902405,-0.05201741307973862,-0.028299087658524513,0.015244077891111374,0.002473432570695877,0.006971132941544056,0.02072720043361187,True,High,74.0,5.13,11.26,10.0,10.0,10.0,0.0,0.0,8.195,Sunday,1.0,1.0,0.0,36.0
C,Exact match,0.8707616925239563,0.44390320777893066,0.021472811698913574,0.026464859023690224,0.000514049781486392,-0.08426588028669357,0.050126977264881134,-0.03014160692691803,-0.05129830539226532,0.02233940176665783,-0.011515545658767223,-0.015946637839078903,0.03082602471113205,-0.0016656519146636128,-0.06363824754953384,-0.03590843454003334,-0.049755532294511795,-0.012434479780495167,-0.01180956419557333,0.029338261112570763,0.021220922470092773,0.010292818769812584,-0.006728728301823139,-0.029380662366747856,0.0016309079946950078,-0.002040663966909051,0.03876382112503052,-0.012566552497446537,-0.011653685010969639,-0.02968197502195835,-0.03463966026902199,0.025721048936247826,-0.01747043803334236,0.060200463980436325,-0.008167948573827744,-0.008298766799271107,-0.008931499905884266,0.02779257670044899,0.015050661750137806,-0.030497459694743156,-0.031224315986037254,-0.008555933833122253,0.007366122677922249,-0.046800389885902405,-0.05201741307973862,-0.028299087658524513,0.015244077891111374,0.002473432570695877,0.006971132941544056,0.02072720043361187,True,High,74.0,5.13,11.26,10.0,10.0,10.0,0.0,0.0,8.195,Sunday,1.0,1.0,0.0,36.0
C,Phrase match,0.8707616925239563,0.44390320777893066,0.021472811698913574,0.026464859023690224,0.000514049781486392,-0.08426588028669357,0.050126977264881134,-0.03014160692691803,-0.05129830539226532,0.02233940176665783,-0.011515545658767223,-0.015946637839078903,0.03082602471113205,-0.0016656519146636128,-0.06363824754953384,-0.03590843454003334,-0.049755532294511795,-0.012434479780495167,-0.01180956419557333,0.029338261112570763,0.021220922470092773,0.010292818769812584,-0.006728728301823139,-0.029380662366747856,0.0016309079946950078,-0.002040663966909051,0.03876382112503052,-0.012566552497446537,-0.011653685010969639,-0.02968197502195835,-0.03463966026902199,0.025721048936247826,-0.01747043803334236,0.060200463980436325,-0.008167948573827744,-0.008298766799271107,-0.008931499905884266,0.02779257670044899,0.015050661750137806,-0.030497459694743156,-0.031224315986037254,-0.008555933833122253,0.007366122677922249,-0.046800389885902405,-0.05201741307973862,-0.028299087658524513,0.015244077891111374,0.002473432570695877,0.006971132941544056,0.02072720043361187,True,High,74.0,5.13,11.26,10.0,10.0,10.0,0.0,0.0,8.195,Sunday,1.0,1.0,0.0,36.0
A,Broad match,0.7419544458389282,-0.39784330129623413,0.07164064049720764,0.2353239506483078,-0.22417855262756348,-0.0905710756778717,-0.033436331897974014,0.11657901853322983,-0.12261287122964859,-0.07489822059869766,0.03641263768076897,-0.17290517687797546,0.06927531212568283,-0.007305143401026726,-0.04128924012184143,-0.13287687301635742,0.040532756596803665,-0.09251777082681656,-0.02200743556022644,0.10067921876907349,-0.09674442559480667,0.08933881670236588,0.06030402332544327,-0.017030466347932816,0.04790295660495758,-0.019021669402718544,-0.07162363082170486,-0.049339719116687775,0.04819227010011673,0.07926195114850998,-0.07355907559394836,-0.02397448755800724,0.012454275041818619,6.15981625742279e-05,-0.06973878294229507,-0.003246078034862876,-0.01873289793729782,-0.019758712500333786,-0.016482718288898468,0.03531726449728012,0.035103313624858856,-0.016273945569992065,-0.038177646696567535,0.0008551350329071283,-0.030813900753855705,-0.003874358255416155,-0.033016595989465714,-0.008384790271520615,-0.03022935800254345,-0.035803042352199554,False,High,89.0,5.19,16.3,5400.0,6200.0,5800.0,-18.181818181818183,137.1428571428571,10.745000000000001,Sunday,1.0,1.0,0.0,36.0
A,Phrase match,0.7419544458389282,-0.39784330129623413,0.07164064049720764,0.2353239506483078,-0.22417855262756348,-0.0905710756778717,-0.033436331897974014,0.11657901853322983,-0.12261287122964859,-0.07489822059869766,0.03641263768076897,-0.17290517687797546,0.06927531212568283,-0.007305143401026726,-0.04128924012184143,-0.13287687301635742,0.040532756596803665,-0.09251777082681656,-0.02200743556022644,0.10067921876907349,-0.09674442559480667,0.08933881670236588,0.06030402332544327,-0.017030466347932816,0.04790295660495758,-0.019021669402718544,-0.07162363082170486,-0.049339719116687775,0.04819227010011673,0.07926195114850998,-0.07355907559394836,-0.02397448755800724,0.012454275041818619,6.15981625742279e-05,-0.06973878294229507,-0.003246078034862876,-0.01873289793729782,-0.019758712500333786,-0.016482718288898468,0.03531726449728012,0.035103313624858856,-0.016273945569992065,-0.038177646696567535,0.0008551350329071283,-0.030813900753855705,-0.003874358255416155,-0.033016595989465714,-0.008384790271520615,-0.03022935800254345,-0.035803042352199554,False,High,89.0,5.19,16.3,5400.0,6200.0,5800.0,-18.181818181818183,137.1428571428571,10.745000000000001,Sunday,1.0,1.0,0.0,36.0
B,Broad match,0.7419544458389282,-0.39784330129623413,0.07164064049720764,0.2353239506483078,-0.22417855262756348,-0.0905710756778717,-0.033436331897974014,0.11657901853322983,-0.12261287122964859,-0.07489822059869766,0.03641263768076897,-0.17290517687797546,0.06927531212568283,-0.007305143401026726,-0.04128924012184143,-0.13287687301635742,0.040532756596803665,-0.09251777082681656,-0.02200743556022644,0.10067921876907349,-0.09674442559480667,0.08933881670236588,0.06030402332544327,-0.017030466347932816,0.04790295660495758,-0.019021669402718544,-0.07162363082170486,-0.049339719116687775,0.04819227010011673,0.07926195114850998,-0.07355907559394836,-0.02397448755800724,0.012454275041818619,6.15981625742279e-05,-0.06973878294229507,-0.003246078034862876,-0.01873289793729782,-0.019758712500333786,-0.016482718288898468,0.03531726449728012,0.035103313624858856,-0.016273945569992065,-0.038177646696567535,0.0008551350329071283,-0.030813900753855705,-0.003874358255416155,-0.033016595989465714,-0.008384790271520615,-0.03022935800254345,-0.035803042352199554,False,High,89.0,5.19,16.3,5400.0,6200.0,5800.0,-18.181818181818183,137.1428571428571,10.745000000000001,Sunday,1.0,1.0,0.0,36.0
B,Phrase match,0.7419544458389282,-0.39784330129623413,0.07164064049720764,0.2353239506483078,-0.22417855262756348,-0.0905710756778717,-0.033436331897974014,0.11657901853322983,-0.12261287122964859,-0.07489822059869766,0.03641263768076897,-0.17290517687797546,0.06927531212568283,-0.007305143401026726,-0.04128924012184143,-0.13287687301635742,0.040532756596803665,-0.09251777082681656,-0.02200743556022644,0.10067921876907349,-0.09674442559480667,0.08933881670236588,0.06030402332544327,-0.017030466347932816,0.04790295660495758,-0.019021669402718544,-0.07162363082170486,-0.049339719116687775,0.04819227010011673,0.07926195114850998,-0.07355907559394836,-0.02397448755800724,0.012454275041818619,6.15981625742279e-05,-0.06973878294229507,-0.003246078034862876,-0.01873289793729782,-0.019758712500333786,-0.016482718288898468,0.03531726449728012,0.035103313624858856,-0.016273945569992065,-0.038177646696567535,0.0008551350329071283,-0.030813900753855705,-0.003874358255416155,-0.033016595989465714,-0.008384790271520615,-0.03022935800254345,-0.035803042352199554,False,High,89.0,5.19,16.3,5400.0,6200.0,5800.0,-18.181818181818183,137.1428571428571,10.745000000000001,Sunday,1.0,1.0,0.0,36.0
